Code	Group	Tb_1i	Tc_1i	Pc_1i	Vc_1i	Tm_1i	∆fG⁰_li	∆fH⁰_gas_1i	∆fusH_1i	LogK_ow
33	HS-CHn-CHm-COOH (n, m in 1..2)	-0.1109	5.0190	0.0011	16.5075	1.6380	-8.0397	9.0814	-2.5929	0.2316
34	NC-CHn-CHm-CN (n, m in 1..2)	-0.0687	17.1845	0.0240	-0.1099	****	13.4079	12.9590	-6.3706	-0.5212
35	OH-CHn-CHm-CN (n, m in 1..2)	0.0308	4.9483	0.0095	2.6655	-1.4063	-1.9137	-1.0489	-3.2594	-0.3661
36	HS-CHn-CHm-SH (n, m in 1..2)	0.1809	6.0898	0.0005	-15.1383	0.6372	5.4773	0.5898	0.6112	****
37	COO-CHn-CHm-OOC (n, m in 1..2)	0.0799	3.5070	-0.0018	-2.9004	-0.1133	0.0455	4.1113	****	0.0555
38	OOC-CHm-CHm-COO (n, m in 1..2)	0.2220	4.8206	0.0009	****	0.6655	****	****	2.4237	0.0551
39	NC-CHn-COO (n in 1..2)	0.2657	2.5120	0.0135	0.2995	0.5922	7.8106	****	0.5514	-0.3036
40	COCHnCOO (n in 1..2)	0.0859	1.8790	-0.0004	1.4473	-0.2616	11.6800	-6.7421	****	0.3100
41	CHm-O-CHn=CHp (m,n,p in 0..3)	0.1086	0.6255	-0.0034	-3.0185	0.2622	-11.9809	-10.9343	2.7656	-0.0618
42	CHm=CHn-F (m,n in 0..2)	0.0763	1.1930	-0.0035	0.0000	0.0034	0.0000	0.0000	0.0000	-0.0295
43	CHm=CHn-Br (m,n in 0..2)	-0.1303	-3.4098	-0.0121	3.6617	-0.5066	13.4032	16.2949	2.4112	0.0282
44	CHm=CHn-I (m,n in 0..2)	-0.2420	****	****	****	0.1229	****	****	****	****
45	CHm=CHn-Cl (m,n in 0..2)	-0.0195	-0.1427	-0.0006	4.4575	-0.0958	5.3462	3.7887	-0.9945	0.1349
46	CHm=CHn-CN (m,n in 0..2)	-0.0348	-0.5768	0.0059	12.9827	-0.0008	-8.1410	-2.0890	-0.2102	-0.1648
47	CHn=CHm-COO-CHp (m,n,p in 0..3)	0.0501	-0.7358	-0.0015	0.6020	0.0776	-11.8853	-11.0525	-0.2889	-0.1289
48	CHm=CHn-CHO (m,n in 0..2)	0.1708	1.7653	0.0098	****	-0.6543	****	****	****	0.0380
49	CHm=CHn-COOH (m,n in 0..2)	0.1199	-1.1866	-0.0013	3.8860	0.9794	8.0573	6.6031	2.1022	0.3841
50	aC-CHn-X (n in 1..2)X:Halogen	0.1378	7.6911	0.0033	-10.8937	0.2676	-8.9209	-6.2532	0.3266	0.0747
51	aC-CHn-NHm (n in 1..2; m in 0..2))	-0.0470	2.8668	0.0084	0.6679	-0.3472	-0.2570	-6.8640	-1.3514	-0.3553
52	aC-CHn-O- (n in 1..2)	0.0196	0.0799	0.0012	-2.8197	0.2880	0.6651	1.0429	0.2113	-0.0801
53	aC-CHn-OH (n in 1..2)	0.0894	-0.6470	0.0009	-14.0044	0.5169	-4.5326	-0.7208	0.1511	-0.1083
54	aC-CHn-CN (n in 1..2)	0.0714	10.8883	0.0061	-9.8240	0.0138	24.3938	13.9976	****	-0.6489
55	aC-CHn-CHO (n in 1..2)	0.1664	****	****	****	2.3024	****	****	****	0.4358
56	aC-CHn-SH (n in 1..2)	0.0810	6.4747	0.0095	-9.0889	-0.0485	18.5080	8.5430	0.3371	****
57	aC-CHn-COOH (n in 1..2)	0.0633	6.4527	-0.0008	****	1.1024	****	****	1.6053	0.2284
58	aC-CHn-CO- (n in 1..2)	0.1047	****	****	****	0.1424	****	****	****	-0.2702
59	aC-CHn-S- (n in 1..2)	-0.2178	****	****	****	0.3173	****	****	****	-0.3754
60	aC-CHn-OOC-H (n in 1..2)	0.1730	4.3834	0.0058	-9.8079	1.7051	1.8329	4.9820	****	****
61	aC-CHm-NO2 (n in 1..2)	0.1486	****	****	****	0.0834	****	-7.5407	****	-0.3072
62	aC-CHn-CONH2 (n in 1..2)	-0.1632	****	****	****	1.5522	****	****	****	-0.2927
63	aC-CHn-OOC (n in 1..2)	-0.1030	3.2086	-0.0014	-14.5368	-0.2286	-0.1204	5.1273	****	0.2754
64	aC-CHn-COO (n in 1..2)	-0.0116	****	****	****	0.3284	****	****	****	-0.1766
65	aC-SO2-OH	-0.1235	****	****	0.0000	0.5472	0.0000	0.0000	****	-1.3958
66	aC-CH(CH3)2	0.0073	0.3642	-0.0035	2.5147	-0.0217	2.6148	0.5133	-0.1722	0.0862
67	aC-C(CH3)3	-0.0199	8.3074	-0.0067	-0.4438	-0.1952	-2.3380	-1.2875	-0.2844	0.1369
68	aC-CF3	-0.1097	-4.5292	****	****	0.0814	****	****	****	-0.0611
69	(CHn=C)(cyc)-CHO (n in 0..2)	0.1349	6.8126	-0.0011	1.9141	-0.6286	-3.2369	-7.9106	-1.6076	0.4564
70	(CHn=C)cyc-COO-CHm (n,m in 0..3)	0.0897	****	****	****	-0.2405	****	****	****	-0.0048
71	(CHn=C)cyc-CO- (n in 0..2)	0.3953	****	****	****	0.9135	****	0.0000	****	0.3321
72	(CHn=C)cyc-CH3 (n in 0..2)	0.0082	-0.5343	-0.0011	0.5568	-0.0482	7.0944	1.0697	0.8756	-0.0654
73	(CHn=C)cyc-CH2 (n in 0..2)	-0.0694	-3.1684	0.0039	-8.2759	-0.7047	-18.0501	-5.9958	-0.1434	-0.2352
74	(CHn=C)cyc-CN (n in 0..2)	-0.2645	****	****	****	3.0722	****	****	****	0.0959
75	(CHn=C)cyc-Cl (n in 0..2)	-0.0471	****	****	****	-0.3909	****	****	****	0.1615
76	CHcyc-CH3	-0.0931	-0.3458	-0.0011	-0.7218	-0.1685	3.4844	6.0853	0.2627	-0.0938
77	CHcyc-CH2	-0.0398	0.3439	0.0005	0.5260	-0.2557	-2.0052	2.3177	0.0151	0.1209
78	CHcyc-CH	0.0862	0.6262	0.0029	-2.5971	0.2505	-0.2035	7.7340	3.4423	0.3146
79	CHcyc-C	-0.0052	3.7347	****	****	0.6051	****	****	****	0.2390
80	CHcyc-CH=CHn (n in 1..2)	-0.0514	-0.2938	0.0006	-7.0563	-0.3014	2.6589	5.2331	****	0.5075
81	CHcyc-C=CHn (n in 1..2)	0.0801	****	****	****	-0.9742	****	****	****	0.3580
82	CHcyc-Cl	0.0163	-3.0141	****	****	0.6556	****	****	****	-0.0586
83	CHcyc-F	-0.0325	****	****	****	3.7390	****	****	****	-0.2523
84	CHcyc-OH	-0.1427	2.7089	0.0033	****	0.0821	-7.3373	-9.7727	-6.2753	0.1092
85	CHcyc-NH2	-0.1875	-2.8873	0.0101	****	-0.0910	0.2465	-39.3638	0.6757	-0.2539
86	CHcyc-NH-CHn (n in 0..3)	-0.2259	-2.8390	0.0019	****	-0.5454	-17.8392	-14.1356	2.1546	-0.0344
87	CHcyc-N-CHn (n in 0..3)	0.0445	****	****	****	0.9660	****	****	****	0.1793
88	CHcyc-SH	-0.1105	2.5523	0.0108	****	****	-18.5185	-8.5430	-0.3371	****
89	CHcyc-CN	0.4270	****	****	****	0.8050	****	-37.2663	****	-0.0571
90	CHcyc-COOH	0.1858	****	****	****	-0.6609	****	****	****	0.3215
91	CHcyc-CO	0.1354	****	****	****	0.2376	****	****	****	-0.0480
92	CHcyc-NO2	-0.2571	****	****	****	-0.7987	****	-19.1639	****	-0.0360
93	CHcyc-S-	-0.1065	****	****	****	-0.8438	****	****	****	-0.2687
94	CHcyc-CHO	-0.0650	****	****	****	0.2252	****	****	****	****
95	CHcyc-O-	0.0115	****	****	****	-0.1989	****	****	****	-0.1041
96	CHcyc-OOCH	-0.2146	****	****	****	****	****	****	****	0.1912
97	CHcyc-COO	0.1121	****	****	****	0.0045	****	****	****	-0.4940
98	CHcyc-OOC	-0.2486	-0.4978	-0.0002	****	0.1565	-0.8969	-16.6387	****	0.0580
99	Ccyc-CH3	-0.0012	0.1796	-0.0009	1.7750	-0.1837	1.1422	1.3166	-1.3973	0.1140
100	Ccyc-CH2	0.0809	0.5885	0.0007	-8.4094	-0.6608	12.3297	9.5703	****	0.1431
101	Ccyc-OH	-0.2919	-4.0786	0.0015	-13.4138	0.8773	-21.4515	-30.6358	0.5222	0.1790
102	>Ncyc-CH3	0.0451	-0.0001	-0.0005	0.0000	0.3041	0.0000	-3.2640	****	-0.0925
103	>Ncyc-CH2	-0.0910	****	****	****	-0.5420	****	-4.0867	****	-0.1025
104	AROMRING s1 s2	-0.0423	-0.5587	0.0003	6.4951	-0.4527	0.4698	0.4066	-1.7878	-0.0240
105	AROMRING s1 s3	0.0179	-1.2269	0.0007	10.1641	-0.4331	-1.9640	0.3234	-1.8843	0.1552
106	AROMRING s1 s4	0.0479	-0.5134	0.0003	6.8997	0.2476	-0.1136	0.0214	0.6993	0.0602
107	AROMRING s1 s2 s3	-0.0054	1.0648	-0.0047	-8.4633	0.1592	3.6947	1.9996	-0.0235	-0.2081
108	AROMRING s1 s2 s4	-0.0003	-0.4645	-0.0031	-10.8758	-0.2140	-1.6151	-2.7023	0.0304	0.0304
109	AROMRING s1 s3 s5	-0.0467	-1.4995	0.0072	-13.1028	0.6065	-2.3129	-9.9138	-0.5689	0.2695
110	AROMRING s1 s2 s3 s4	0.0786	5.9314	-0.0067	-18.8966	-0.0618	14.3673	14.7596	-0.3226	-0.1418
111	AROMRING s1 s2 s3 s5	-0.0032	2.5689	-0.0025	-11.8966	-0.0113	5.0673	9.5146	-0.8326	-0.1030
112	AROMRING s1 s2 s4 s5	0.0453	1.6886	-0.0013	-3.8078	0.7336	-0.3327	6.1346	9.4474	0.1804
113	PYRIDINE s2	-0.0186	-2.1157	0.0066	7.3722	-0.3354	-10.5206	-2.8843	-10.229	-0.3155
114	PYRIDINE s3	0.0523	2.1936	0.0066	7.3722	-0.4438	-3.3306	3.0862	-5.7697	-0.5376
115	PYRIDINE s4	0.1369	2.4148	0.0020	12.9722	0.3046	-5.5106	0.3230	28.4388	-0.4075
116	PYRIDINE s2 s3	0.0557	0.0573	****	-6.6887	-0.0449	****	-0.4596	****	-0.0523
117	PYRIDINE s2 s4	0.0990	-1.6290	0.0042	-6.6887	4.0430	****	-4.3460	****	0.0505
118	PYRIDINE s2 s5	-0.0222	-2.1484	0.0062	-6.6887	0.5361	****	2.0795	****	-0.2864
119	PYRIDINE s2 s6	0.0478	-5.8586	0.0077	****	0.1319	-16.6665	-7.6712	-10.860	-0.0029
120	PYRIDINE s3 s4	0.4669	6.2514	-0.0006	-6.6887	0.3573	****	0.7111	****	-0.3735
121	PYRIDINE s3 s5	0.0900	2.6197	****	****	0.3729	****	2.9556	****	-0.0249
122	PYRIDINE s2 s3 s6	-0.0605	****	****	****	****	****	****	****	****
123	(CHn=CHm)cyc-COOH	0.1855	****	****	****	2.5389	****	****	****	0.2914
124	AROMRING s1 s2 s3 s4 s5	-0.0171	****	****	****	-0.1993	****	****	-1.8331	-0.1363
125	aC-NHCOCH2N	-0.1402	****	****	****	-5.1628	****	****	****	-0.3216
126	(N=C)cyc-CH3	0.1769	****	****	****	2.4075	****	10.6568	****	-0.2422
127	aC-CONH(CH2)2N	-0.0813	****	****	****	-2.3250	****	****	****	-0.2344
128	aC-SO2NHn (n>=0;n<3)	-0.0657	****	****	****	0.5634	****	****	****	0.1532
129	aC-SO2NHn (n>=0;n<3)	-0.0002	****	****	****	-0.3016	****	****	****	0.0250
130	aC-SO2NHn (n>=0;n<3)	-0.0326	****	****	****	-0.9672	****	****	****	0.1146
