Code	Group	Fp_1i	∆vapH⁰_1i	∆vapH_1i	∆vapS_1i	δD_1i	δP_1i	δH_1i	δ_1i	ω_1i	Vm_1i
17	aC-CHncyc (fused rings) (n in 0..1)	****	-1.0593	0.8445	2.0938	1.1324	-0.3529	0.9306	0.4518	0.0003	-0.0037
18	aC-(CHn)m-aC (different rings) (m>1; n in 0..2)	8.1165	****	****	****	****	****	****	-1.8809	-0.0052	-0.0037
19	aC-(CHn)m-CHcyc (different rings) (m>0; n in 0..2)	****	****	****	****	****	****	****	****	****	****
20	CHcyc-CHcyc (different rings)	4.4215	****	****	****	-0.5119	3.1317	-9.7602	****	-0.0057	****
21	CHcyc-(CHn)m-CHcyc (different rings) (m>0; n in 0..2)	****	****	****	****	****	****	****	****	****	****
22	CHmultiring	4.9360	-0.4984	0.0062	-0.0320	1.9595	-0.1324	-0.4329	-0.0863	-0.0013	0.0007
23	Cmultiring	-7.7416	-0.3783	0.0633	0.2622	-0.3218	1.8483	-0.6190	0.3107	0.0005	-0.0026
24	aC-CHm-aC (different rings) (m in 0..2)	11.7051	****	****	****	-0.5420	0.7394	-2.3539	-0.3447	-0.0001	-0.0013
25	aC-(CHm =CHn)-aC (different rings) (m,n in 0..2)	****	****	****	****	****	****	****	0.0745	0.0004	-0.0043
26	(CHm =C)cyc-CH=CH-(C=CHn)cyc (different rings)	****	****	****	****	****	****	****	****	****	****
27	(CHm =C)cyc-CHp-(C=CHn)cyc (different rings)	****	****	****	****	****	****	****	****	****	****
28	aC-CO-aC (different rings)	****	****	****	****	-0.1401	1.8062	3.1782	****	-0.0051	-0.0073
29	aC-CHm-CO-aC (different rings) (m in 0..2)	****	****	****	****	0.0000	0.0000	-1.7604	-1.1174	****	****
30	aC-CO-(C=CHn)cyc (different rings) (n in 0..1)	****	****	****	****	****	****	****	****	****	****
31	aC-CO-CO-aC (different rings)	****	****	****	****	****	****	****	****	****	****
32	aC-COcyc (fused rings)	-0.5536	****	****	****	0.4543	-0.3313	-0.2357	-1.7803	-0.0021	0.0043
33	aC-CO-(CHn)m-CO-aC (different rings) (m>0; n in 0..2)	****	****	****	****	****	****	****	****	****	****
34	aC-CO-CHncyc (different rings) (n in 0..1)	****	****	****	****	****	****	****	****	****	****
35	aC-CO-NHn-aC (different rings) (n in 0..1)	****	****	****	****	****	****	****	****	****	****
36	aC-NHn CONHm-aC (different rings) (n,m in 0..1)	****	****	****	****	****	****	****	****	****	****
37	aC-CO-Ncyc (different rings)	****	****	****	****	****	****	****	****	****	****
38	aC-Scyc (fused rings)	****	****	****	****	0.1519	-8.1865	-1.4420	-0.0667	-0.0007	-0.0008
39	aC-S-aC (different rings)	****	****	****	****	****	****	****	****	****	****
40	aC-POn-aC (different rings) (n in 0..4)	****	****	****	****	****	****	****	****	****	****
41	aC-SOn-aC (different rings) (n in 1..4)	****	****	****	****	0.2500	-1.0606	-2.6053	****	****	****
42	aC-NHncyc (fused rings) (n in 0..1)	****	****	****	****	0.8535	1.1282	0.7173	0.1496	0.0007	-0.0013
43	aC-NH-aC (different rings)	6.4016	****	****	****	-0.2617	-0.2382	-3.5536	-0.7017	-0.0006	0.0039
44	aC-(C=N)cyc (different rings)	****	****	****	****	****	****	****	****	****	****
45	aC-(N=CHn)cyc (fused rings) (n in 0..1)	****	****	****	****	0.5637	1.5230	0.2899	****	-0.0006	0.0264
46	aC-(CHn =N)cyc (fused rings) (n in 0..1)	****	****	****	****	1.6139	-0.9441	-0.0743	****	****	****
47	aC-O-CHn-aC (different rings) (n in 0..2)	****	****	****	****	****	****	****	****	****	****
48	aC-O-aC (different rings)	0.0000	****	****	****	-0.3381	-1.1131	-1.3514	-2.2350	-0.0086	0.0017
49	aC-CHn-O-CHm-aC (different rings) (n,m in 0..2)	****	****	****	****	0.0663	0.7437	1.9259	3.7528	0.0078	0.0005
50	aC-Ocyc (fused rings)	****	****	****	****	0.6075	0.0210	-0.5115	-0.5983	-0.0084	0.0074
51	AROM.FUSED[2]	1.2495	1.1282	-1.6888	-4.1879	-1.1001	-0.2317	2.6294	0.3177	0.0014	0.0048
52	AROM.FUSED[2] s1	-2.5899	-2.0001	3.3778	8.3754	1.0458	0.5653	0.8405	0.1270	-0.0005	-0.0076
53	AROM.FUSED[2] s2	1.4245	****	****	****	-1.7641	-0.8747	0.0189	-0.3888	0.0004	0.0052
54	AROM.FUSED[2] s2s3	****	****	****	****	****	****	****	****	****	****
55	AROM.FUSED[2] s1s4	****	2.6018	****	****	****	****	****	****	****	****
56	AROM.FUSED[2] s1s2	****	****	****	****	****	****	****	****	****	****
57	AROM.FUSED[2] s1s3	****	2.4118	****	****	****	****	****	****	****	****
58	AROM.FUSED[3]	****	****	****	****	****	****	****	-0.3660	-0.0009	0.0055
59	AROM.FUSED[4a]	****	****	****	****	****	****	****	-3.1093	0.0002	-0.0020
60	AROM.FUSED[4a] s1	****	****	****	****	****	****	****	****	****	****
61	AROM.FUSED[4a] s1s4	****	****	****	****	****	****	****	****	****	****
62	AROM.FUSED[4p]	****	-3.6434	****	****	****	****	****	-0.5671	-0.0022	-0.0186
63	AROM.FUSED[4p] s3s4	****	****	****	****	****	****	****	****	****	****
64	PYRIDINE.FUSED[2]	-3.4513	1.4209	****	****	0.7694	-1.6426	-0.7278	1.1486	-0.0012	-0.0058
65	PYRIDINE.FUSED[2-iso]	****	-3.1516	****	****	****	****	****	1.6459	-0.0045	-0.0026
66	PYRIDINE.FUSED[4]	****	****	****	****	2.5583	1.6369	-3.0822	-0.4278	-0.0029	0.0077
67	aC-N-CHcyc (different rings)	****	****	****	****	****	****	****	****	****	****
68	Nmultiring	****	****	****	****	1.3837	0.9827	3.2021	-1.1445	0.0011	-0.0001
69	Ncyc-(CH2)3-Ncyc (different rings)	****	****	****	****	****	****	****	****	****	****
70	aC-COCH2 CH2-aC (different rings)	****	****	****	****	****	****	****	****	****	****
71	aC-O-(CH2)2-Ncyc (different rings)	****	****	****	****	****	****	****	****	****	****
72	aC-CH(OH)(CH2)2-CHcyc (different rings)	****	****	****	****	****	****	****	****	****	****
73	Ncyc-(CH2)2-CHcyc (different rings)	****	****	****	****	****	****	****	****	****	****
74	aC-CONHCH2-CHcyc (different rings)	****	****	****	****	****	****	****	****	****	****
