Code	Group	Tb_1i	Tc_1i	Pc_1i	Vc_1i	Tm_1i	∆fG⁰_li	∆fH⁰_gas_1i	∆fusH_1i	LogK_ow
36	aC-NHn CONHm-aC (different rings) (n,m in 0..1)	0.0000	****	****	****	2.7765	****	****	0.0000	0.1770
37	aC-CO-Ncyc (different rings)	****	****	****	****	0.0270	****	****	****	0.2029
38	aC-Scyc (fused rings)	-0.1030	12.1354	0.0072	-19.926	-0.1041	10.8281	14.3386	0.0000	-0.0153
39	aC-S-aC (different rings)	0.2308	****	****	****	0.5232	****	****	****	0.3515
40	aC-POn-aC (different rings) (n in 0..4)	****	****	****	****	****	****	****	****	****
41	aC-SOn-aC (different rings) (n in 1..4)	****	****	****	****	1.9271	****	****	0.0000	-0.3536
42	aC-NHncyc (fused rings) (n in 0..1)	0.1296	3.5500	0.0157	****	0.3896	-0.0140	-8.0616	-0.0001	0.0584
43	aC-NH-aC (different rings)	0.1588	5.7738	0.0116	-8.4909	0.3482	-0.0009	-12.488	0.0000	0.2657
44	aC-(C=N)cyc (different rings)	-0.3045	****	****	****	-2.4511	****	****	****	-0.1221
45	aC-(N=CHn)cyc (fused rings) (n in 0..1)	-0.0363	****	****	****	1.0039	****	-32.340	0.0000	0.0181
46	aC-(CHn =N)cyc (fused rings) (n in 0..1)	****	****	****	****	0.5033	****	40.8091	****	-0.6708
47	aC-O-CHn-aC (different rings) (n in 0..2)	****	****	****	****	0.3651	****	****	****	-0.0661
48	aC-O-aC (different rings)	-0.2417	-3.7437	0.0092	-19.169	-1.1809	2.4094	-8.5210	-4.7576	0.1635
49	aC-CHn-O-CHm-aC (different rings) (n,m in 0..2)	-0.0392	-0.1595	0.0018	5.6364	-0.4040	0.0000	-2.0857	0.0000	-0.3499
50	aC-Ocyc (fused rings)	0.0421	5.1557	****	-19.199	0.0048	****	6.6113	0.0000	0.1147
51	AROM.FUSED[2]	0.0166	-3.9457	-0.0016	8.6042	-0.3344	-0.0096	0.8755	0.0000	0.0285
52	AROM.FUSED[2] s1	-0.0378	2.1630	-0.0035	-19.985	-0.0784	-0.0003	-10.583	0.0000	0.0512
53	AROM.FUSED[2] s2	-0.0592	-1.1898	-0.0015	-9.4619	0.1479	-0.0008	-4.5841	0.0000	0.0146
54	AROM.FUSED[2] s2s3	0.0760	25.0034	****	****	1.0951	****	****	3.4642	-0.0814
55	AROM.FUSED[2] s1s4	-0.1731	****	****	****	0.1550	****	****	0.8765	0.0635
56	AROM.FUSED[2] s1s2	0.0339	****	****	****	-0.4324	****	****	****	-0.1149
57	AROM.FUSED[2] s1s3	-0.1272	26.5956	****	****	1.8481	****	****	****	0.1795
58	AROM.FUSED[3]	0.0454	-2.9209	0.0015	52.7624	0.0564	3.9946	-1.9029	2.1316	0.0218
59	AROM.FUSED[4a]	0.2206	20.4501	0.0138	-36.657	-0.3009	15.0974	11.5161	9.1486	0.0775
60	AROM.FUSED[4a] s1	0.3508	****	****	****	0.8565	****	23.7178	****	-0.0727
61	AROM.FUSED[4a] s1s4	****	****	****	****	-1.5293	****	26.4171	****	0.7898
62	AROM.FUSED[4p]	0.2868	17.0823	0.0065	-36.756	0.7436	-16.074	-23.907	-3.1469	0.1239
63	AROM.FUSED[4p] s3s4	****	****	****	****	0.0335	****	****	****	****
64	PYRIDINE.FUSED[2]	-0.0468	2.4430	-0.0024	-0.5352	-0.3160	9.8205	2.4239	-13.756	-0.2553
65	PYRIDINE.FUSED[2-iso]	-0.1104	15.2077	-0.0062	-9.0683	0.2666	0.0042	8.0040	-12.032	-0.2283
66	PYRIDINE.FUSED[4]	0.3738	****	0.0041	-19.571	-0.0560	0.0016	22.9451	0.0000	-0.2366
67	aC-N-CHcyc (different rings)	****	****	****	****	0.9791	****	****	****	-0.0624
68	Nmultiring	-0.2925	****	****	****	0.6959	****	32.3518	****	-0.2049
69	Ncyc-(CH2)3-Ncyc (different rings)	****	****	****	****	-2.2340	****	****	****	-0.0979
70	aC-COCH2 CH2-aC (different rings)	****	****	****	****	****	****	****	****	-0.4613
71	aC-O-(CH2)2-Ncyc (different rings)	****	****	****	****	****	****	****	****	-0.4410
72	aC-CH(OH)(CH2)2-CHcyc (different rings)	****	****	****	****	****	****	****	****	-1.1430
73	Ncyc-(CH2)2-CHcyc (different rings)	****	****	****	****	****	****	****	****	0.3798
74	aC-CONHCH2-CHcyc (different rings)	****	****	****	****	-0.9475	****	****	****	-0.4323
