Code	Group	Fp_1i	∆vapH⁰_1i	∆vapH_1i	∆vapS_1i	δD_1i	δP_1i	δH_1i	δ_1i	ω_1i	Vm_1i
155	PH (phosphine)	****	****	****	****	****	****	****	****	****	****
156	P (Phospine)	****	****	****	****	-5.4711	-6.2794	****	****	0.0039	0.0192
157	PO3 (Phospite)	****	****	****	****	****	****	****	1.7790	****	****
158	PHO3 (Phosponate)	****	****	****	****	****	****	****	8.1425	****	****
159	PO3 (Phosponate)	****	****	****	****	-6.0081	6.2614	0.6291	****	****	****
160	PHO4 (Phospate)	****	****	****	****	****	****	****	****	****	****
161	PO4 (Phospate)	100.1890	****	****	****	-6.2197	5.1066	2.1176	3.6009	0.0226	0.0306
162	aC-PO4	-15.3995	****	****	****	-12.8906	3.8072	-1.7608	0.0443	0.0387	0.0560
163	aC-P	****	****	****	****	****	****	****	1.1108	-0.0156	0.0297
164	CO3 (Carbonate)	****	19.9374	****	****	0.1623	1.2499	2.3941	1.9984	0.0305	0.0225
165	C2H3O	66.0416	16.0120	10.1680	6.0938	9.2764	5.6342	7.9801	1.1546	0.0204	0.0305
166	C2H2O	44.2334	****	****	****	0.9605	0.8007	2.0651	-0.4611	0.0034	0.0290
167	C2HO	****	****	****	****	****	****	****	****	****	****
168	CH2 (cyclic)	15.0958	3.8456	2.2775	-0.0801	2.6915	0.5026	0.6159	-0.3627	0.0036	0.0159
169	CH (cyclic)	10.5355	4.3257	2.4151	1.0078	-3.7719	-1.7549	-0.5171	-0.6398	0.0019	0.0063
170	C (cyclic)	-15.1444	3.5718	2.9031	3.2681	-7.1870	-2.2674	-2.6329	2.3564	-0.0089	0.0006
171	CH=CH (cyclic)	24.8992	7.7284	4.9731	1.4534	7.1887	1.2946	1.9775	-1.0024	0.0079	0.0253
172	CH=C (cyclic)	35.7375	6.6785	6.3925	5.2151	-0.8694	0.3059	-1.5025	1.0010	0.0074	0.0167
173	C=C (cyclic)	****	****	****	****	-9.3456	-11.5136	-17.0120	1.1243	0.0084	0.0141
174	CH2=C (cyclic)	34.6184	5.5682	-6.2213	-22.7853	8.3422	4.1288	2.4163	-0.6471	0.0124	0.0321
175	NH (cyclic)	60.9244	16.3524	9.8928	8.0764	4.7659	3.0159	3.4090	1.7237	0.0145	0.0041
176	N (cyclic)	49.4820	****	****	****	-0.6101	1.2099	-0.6760	-0.1619	0.0046	0.0006
177	CH=N (cyclic)	****	12.0459	5.6900	2.0179	7.5861	8.8362	6.2565	-3.2969	0.0091	0.0214
178	C=N (cyclic)	****	****	****	****	****	****	****	****	0.0023	****
179	O (cyclic)	24.3976	6.6215	4.7567	3.9031	3.9616	3.1902	2.8020	0.5806	0.0111	0.0018
180	CO (cyclic)	76.3797	17.2410	20.5688	27.8334	2.7841	5.6981	2.7658	2.6466	0.0232	0.0130
181	S (cyclic)	****	13.2479	8.0085	2.1078	5.4675	2.6306	2.9683	0.8899	0.0062	0.0126
182	SO2 (cyclic)	****	****	****	****	7.2362	11.9242	4.9204	5.0404	0.0245	0.0189
183	>NH	****	****	****	****	****	****	****	1.6621	0.0214	0.0104
184	O--	-8.7112	****	****	****	-0.6898	-0.0731	0.2654	-7.4283	0.0019	0.0098
185	S--	****	****	****	****	0.2257	-0.1052	-0.1864	****	0.0102	0.0157
186	>CO	****	20.0518	****	****	0.2109	0.5495	1.6226	-1.3882	0.0185	0.0122
187	PO2	****	****	****	****	****	****	****	****	****	****
188	CH-N	****	****	****	****	****	****	****	****	****	****
189	SiHO	****	****	****	****	****	****	****	****	****	****
190	SiO	-18.1945	****	****	****	****	****	****	2.2124	-0.0017	0.0278
191	SiH2	****	****	****	****	****	****	****	-3.6662	****	****
192	SiH	-32.7409	****	****	****	****	****	****	-1.8067	****	****
193	Si	-14.8426	****	****	****	****	****	****	0.8481	-0.0055	0.0196
194	(CH3)3N	****	****	****	****	****	****	****	****	****	****
195	N=N	****	16.5568	****	****	7.3743	8.2226	8.7799	****	****	****
196	C cyclic=N-	****	****	****	****	****	****	****	-2.3927	-0.0141	0.0369
197	C cyclic=CH-	****	8.1918	4.6627	0.3665	****	****	****	****	0.0094	0.0248
198	C cyclic=NH	****	****	****	****	****	****	****	****	****	****
199	N=O	****	15.8469	****	****	11.5213	11.5358	1.6523	7.7737	0.0123	0.0258
200	C cyclic=C	****	****	****	****	-13.7715	-3.7306	-5.0268	2.7846	0.0009	0.0277
201	P=O	****	****	****	****	-7.1878	3.4676	-5.2535	3.8056	-0.0140	0.0096
202	N=N	****	6.2706	****	****	****	****	****	-0.5829	0.0075	0.0387
203	C=NH	****	****	****	****	****	****	****	****	0.0149	0.0535
204	>C=S	****	****	****	****	1.9104	8.9307	2.2395	-4.2769	0.0019	0.0197
205	aC-CON	****	****	****	****	****	****	****	****	****	****
206	aC=O	****	****	****	****	****	****	****	****	****	****
207	aN-	****	****	****	****	****	****	****	****	****	****
208	Na-	****	****	****	****	****	****	****	-9.7168	****	****
209	K-	****	****	****	****	****	****	****	****	****	****
210	HCONH	****	44.3120	****	****	9.8303	16.8004	13.6895	10.9408	0.0380	0.0190
211	CHOCH	****	****	****	****	****	****	****	****	****	****
212	C2O	****	****	****	****	****	****	****	****	****	****
213	SiH3	****	****	****	****	****	****	****	-5.5324	****	****
214	SiH2O	****	****	****	****	****	****	****	****	****	****
215	CH=C=CH	****	****	****	****	****	****	****	-0.9884	0.0091	0.0345
216	CH=C=C	****	****	****	****	****	****	****	****	****	****
217	OP(=S)O	****	****	****	****	****	****	****	****	****	****
218	R	****	****	****	****	****	****	****	****	****	****
219	CF2cyclic	****	4.7102	3.2960	1.2955	2.0667	****	****	-1.5591	0.0087	0.0294
220	CF cyclic	****	-1.0004	-3.0134	-3.8550	-5.8384	****	****	0.6377	-0.0051	0.0121
