Code	Group	Fp_1i	∆vapH⁰_1i	∆vapH_1i	∆vapS_1i	δD_1i	δP_1i	δH_1i	δ_1i	ω_1i	Vm_1i
20	OH-CHn-COO (n in 0..2)	-15.3861	****	****	****	0.0072	-0.1667	-3.3827	****	0.0096	-0.0005
21	CHm (OH)CHn (OH) (m,n in 0..2)	8.5848	-5.0052	-3.9944	-9.4735	0.1911	-0.8203	-3.2166	-0.1305	-0.0076	0.0015
22	CHm (OH)CHn (NHp) (m,n,p in 0..2)	5.0306	****	1.5721	-2.1116	0.3550	1.2711	-0.8175	1.9880	-0.0016	-0.0006
23	CHm (NH2)CHn (NH2) (m,n in 0..2)	9.3947	2.6818	1.3580	0.9276	0.2567	-1.7927	3.4033	2.8341	-0.0011	-0.0035
24	CHm (NH)CHn (NH2) (m,n in 1..2)	3.6053	0.4833	-0.2486	-2.1626	0.0605	1.3746	-0.2500	-0.0876	0.0012	0.0011
25	H2NCOCHnCHmCONH2 (m,n in 1..2)	****	****	****	****	****	****	****	****	****	****
26	CHm (NHn)-COOH (m,n in 0..2)	****	****	****	****	****	****	****	-2.6859	-0.0070	0.0155
27	HOOC-CHn-COOH (n in 1..2)	****	****	****	****	****	****	****	6.3921	-0.0009	-0.0058
28	HOOC-CHn-CHm-COOH (n, m in 1..2)	-2.4277	****	****	****	****	****	****	-2.9731	0.0046	0.0012
29	HO-CHn-COOH (n in 1..2)	-35.6225	****	****	****	0.6599	0.5382	9.4799	3.7892	0.0183	0.0104
30	NH2-CHn-CHm-COOH (n, m in 1..2)	****	****	****	****	****	****	****	****	****	****
31	CH3-O-CHn-COOH (n in 1..2)	****	****	****	****	****	****	****	5.3028	-0.0086	-0.0063
32	HS-CH-COOH	****	****	****	****	-1.0773	1.1718	2.9668	4.3205	-0.0028	-0.0042
33	HS-CHn-CHm-COOH (n, m in 1..2)	****	****	****	****	****	****	****	1.9063	-0.0040	-0.0032
34	NC-CHn-CHm-CN (n, m in 1..2)	****	****	1.8295	-1.1053	0.5262	-3.6886	1.2713	-0.0650	-0.0013	-0.0010
35	OH-CHn-CHm-CN (n, m in 1..2)	****	****	****	****	0.4912	4.0450	2.7001	1.8879	0.0070	-0.0027
36	HS-CHn-CHm-SH (n, m in 1..2)	****	1.0757	1.6218	1.0697	0.6807	-0.6319	0.2170	1.1975	0.0022	-0.0002
37	COO-CHn-CHm-OOC (n, m in 1..2)	14.4849	0.1932	****	****	-0.0130	0.5652	0.4053	0.0874	0.0017	0.0013
38	OOC-CHm-CHm-COO (n, m in 1..2)	****	****	****	****	0.0506	-0.0968	1.1963	0.0129	0.0016	-0.0009
39	NC-CHn-COO (n in 1..2)	****	****	3.8014	6.0436	0.2110	-2.1658	0.6450	1.4017	-0.0045	-0.0013
40	COCHnCOO (n in 1..2)	24.7815	****	****	****	0.1556	-0.6087	0.4474	0.5502	0.0046	-0.0017
41	CHm-O-CHn=CHp (m,n,p in 0..3)	-18.0639	1.0948	0.0104	-1.3784	-0.0424	0.0916	0.2445	0.1460	-0.0007	-0.0010
42	CHm=CHn-F (m,n in 0..2)	****	****	****	****	-0.0886	-0.2863	-4.4333	-0.1972	0.0001	0.0011
43	CHm=CHn-Br (m,n in 0..2)	****	****	****	****	-0.4889	0.3079	-0.6056	-0.3467	0.0042	-0.0012
44	CHm=CHn-I (m,n in 0..2)	****	****	****	****	0.1744	-0.8610	0.4795	****	****	****
45	CHm=CHn-Cl (m,n in 0..2)	2.0414	-0.6037	-0.4149	-0.3691	0.3520	0.5407	-0.7345	-0.0513	-0.0001	-0.0002
46	CHm=CHn-CN (m,n in 0..2)	-9.0007	0.1546	-0.2467	0.4849	-0.3290	-0.1716	1.6540	0.8807	0.0017	-0.0001
47	CHn=CHm-COO-CHp (m,n,p in 0..3)	1.6842	****	0.4156	1.4245	0.2082	0.1368	-0.8720	-0.1609	-0.0020	0.0002
48	CHm=CHn-CHO (m,n in 0..2)	-5.7993	****	-0.5449	-1.9934	0.5816	0.5027	-0.3584	0.6627	-0.0024	-0.0039
49	CHm=CHn-COOH (m,n in 0..2)	24.7300	****	****	****	0.5318	0.4454	2.1610	0.9168	-0.0036	-0.0004
50	aC-CHn-X (n in 1..2)X:Halogen	13.4197	****	****	****	0.2213	-0.0846	0.6689	-0.2895	-0.0013	-0.0001
51	aC-CHn-NHm (n in 1..2; m in 0..2))	****	2.0616	****	****	0.4492	-2.2945	1.9559	-2.9980	-0.0030	0.0008
52	aC-CHn-O- (n in 1..2)	0.0000	****	****	****	-0.1365	-0.0158	0.8380	1.5652	0.0012	-0.0002
53	aC-CHn-OH (n in 1..2)	-1.1962	****	****	****	0.5154	0.0164	0.8857	-0.5225	-0.0030	0.0011
54	aC-CHn-CN (n in 1..2)	****	****	****	****	0.6512	0.0623	1.9122	-0.2955	0.0007	0.0014
55	aC-CHn-CHO (n in 1..2)	****	****	****	****	****	****	****	****	-0.0011	-0.0002
56	aC-CHn-SH (n in 1..2)	****	****	****	****	****	****	****	-0.3273	-0.0020	0.0009
57	aC-CHn-COOH (n in 1..2)	****	****	****	****	****	****	****	****	0.0125	0.0188
58	aC-CHn-CO- (n in 1..2)	****	****	****	****	-2.7946	-0.8886	****	****	****	****
59	aC-CHn-S- (n in 1..2)	****	****	****	****	****	****	****	****	****	****
60	aC-CHn-OOC-H (n in 1..2)	****	****	****	****	****	****	****	0.0656	-0.0031	0.0008
61	aC-CHm-NO2 (n in 1..2)	****	****	****	****	****	****	****	****	****	****
62	aC-CHn-CONH2 (n in 1..2)	****	****	****	****	****	****	****	****	****	****
63	aC-CHn-OOC (n in 1..2)	18.9879	****	-1.1912	-1.6981	-1.0879	-0.3143	0.0979	-0.5926	0.0001	0.0081
64	aC-CHn-COO (n in 1..2)	****	****	****	****	****	****	****	****	****	****
65	aC-SO2-OH	****	****	****	****	****	****	****	****	****	****
66	aC-CH(CH3)2	3.1004	0.9546	****	****	0.7291	-1.1559	1.8781	0.7557	0.0004	0.0005
67	aC-C(CH3)3	0.0000	-2.1016	****	****	-1.4789	-0.0496	1.9725	1.1731	-0.0004	0.0008
68	aC-CF3	****	2.0992	0.0000	0.0000	0.4225	-0.3328	-8.8009	0.1863	-0.0016	-0.0033
69	(CHn=C)(cyc)-CHO (n in 0..2)	15.0871	****	2.3557	0.7665	0.5492	2.1202	-3.5531	0.4011	-0.0068	0.0066
70	(CHn=C)cyc-COO-CHm (n,m in 0..3)	****	****	****	****	-0.7339	-1.5368	1.5749	****	****	****
71	(CHn=C)cyc-CO- (n in 0..2)	****	****	****	****	-0.8497	1.9169	2.4173	0.0704	****	****
72	(CHn=C)cyc-CH3 (n in 0..2)	-7.4519	-0.2542	-1.8630	-2.6007	-0.0877	0.0667	1.5925	-0.8355	-0.0017	-0.0012
73	(CHn=C)cyc-CH2 (n in 0..2)	-7.6915	****	3.2337	7.0348	-1.4776	-2.0653	-0.1157	2.0446	0.0024	0.0063
74	(CHn=C)cyc-CN (n in 0..2)	****	0.3811	****	****	-0.4273	0.3201	3.0012	****	****	****
75	(CHn=C)cyc-Cl (n in 0..2)	****	****	****	****	1.6194	-1.1049	2.7380	0.1332	-0.0025	0.0008
76	CHcyc-CH3	-8.2727	0.1877	-0.2576	-0.6495	-0.7482	-0.0163	-2.6027	0.7560	0.0001	0.0023
77	CHcyc-CH2	5.6235	-0.1533	-0.1383	-1.3180	-0.0140	-1.7793	-4.0908	-0.2901	0.0022	0.0010
78	CHcyc-CH	12.8835	1.1524	0.9079	0.0952	-1.5719	-1.6180	-1.5266	-0.0797	0.0029	-0.0082
79	CHcyc-C	****	1.9621	0.7445	-0.2722	****	****	****	****	0.0064	0.0056
80	CHcyc-CH=CHn (n in 1..2)	5.4702	0.9136	-0.2636	-3.0464	0.6341	0.2930	-3.3474	1.6087	0.0010	0.0041
81	CHcyc-C=CHn (n in 1..2)	8.6553	****	****	****	-1.0010	-2.3852	-1.5637	2.8379	0.0146	0.0018
82	CHcyc-Cl	****	****	****	****	-0.9056	1.8420	-1.2717	0.3635	****	****
83	CHcyc-F	****	****	****	****	****	****	****	****	****	****
84	CHcyc-OH	-6.6022	4.3977	3.0890	11.9082	-0.3337	0.8692	-1.3628	-0.9065	0.0023	-0.0033
85	CHcyc-NH2	-18.1348	-7.0630	-2.6531	-3.2450	-0.9879	-3.1721	-5.1402	-4.1468	0.0024	0.0028
86	CHcyc-NH-CHn (n in 0..3)	****	****	****	****	****	****	****	-0.5744	0.0006	0.0006
87	CHcyc-N-CHn (n in 0..3)	****	****	****	****	****	****	****	****	****	****
88	CHcyc-SH	****	0.0000	0.0000	0.0000	****	****	****	-0.5441	0.0013	0.0022
89	CHcyc-CN	****	-1.1236	0.1070	-1.2269	8.4427	7.0606	3.0634	****	0.0047	0.0061
90	CHcyc-COOH	****	****	****	****	****	****	****	0.1802	0.0008	0.0010
91	CHcyc-CO	****	0.5307	2.0615	1.8182	7.2260	5.7977	11.8459	3.1104	0.0158	-0.0067
92	CHcyc-NO2	****	****	****	****	****	****	****	****	****	****
93	CHcyc-S-	****	****	****	****	****	****	****	****	-0.0020	0.0031
94	CHcyc-CHO	****	****	****	****	0.4537	-0.2233	-3.5562	0.2006	-0.0013	0.0048
95	CHcyc-O-	****	****	****	****	-0.2910	0.1298	-1.0584	-1.1660	0.0024	0.0053
96	CHcyc-OOCH	****	****	****	****	****	****	****	1.5317	-0.0014	0.0016
97	CHcyc-COO	****	0.0000	-0.6919	-1.7835	-1.0618	-0.0750	-1.1121	****	-0.0042	0.0031
98	CHcyc-OOC	-0.2651	****	****	****	-0.6085	4.0703	-0.0407	2.0339	-0.0060	-0.0357
99	Ccyc-CH3	1.8273	0.0713	-0.0029	-0.0493	0.9088	0.0146	-0.3430	-0.4601	0.0003	0.0029
100	Ccyc-CH2	****	1.0646	-0.7056	-2.3470	****	****	****	-4.0577	0.0025	-0.0025
101	Ccyc-OH	-8.1952	****	****	****	-5.6725	-0.8195	-1.6146	-0.4790	-0.0152	-0.0044
102	>Ncyc-CH3	0.0000	****	****	****	-1.0144	0.9818	1.9504	1.0236	-0.0017	-0.0048
103	>Ncyc-CH2	****	****	****	****	-1.2348	-1.4964	-0.2783	0.5028	0.0030	0.0033
104	AROMRING s1 s2	-5.3475	1.0186	0.6922	1.3948	0.0310	0.5558	-0.1562	0.0819	-0.0012	-0.0031
105	AROMRING s1 s3	7.7441	-3.6560	0.1231	0.4984	-0.2746	0.8707	-0.0298	0.5637	0.0002	-0.0010
106	AROMRING s1 s4	-0.4732	0.4880	0.6051	1.0228	-0.0243	0.2453	-0.4144	-0.2098	0.0005	0.0010
107	AROMRING s1 s2 s3	-1.6525	0.7584	****	****	0.3928	1.4673	-0.5336	-0.3598	0.0014	0.0019
108	AROMRING s1 s2 s4	-2.5265	0.9796	-1.1663	-0.9715	0.0506	0.2714	-0.5098	0.7329	0.0012	0.0005
109	AROMRING s1 s3 s5	17.9811	3.3334	****	****	-0.2583	-0.1508	-0.1894	-0.5972	-0.0006	0.0018
110	AROMRING s1 s2 s3 s4	11.6163	****	****	****	0.2637	-0.4967	-0.6207	0.7839	0.0014	-0.0041
111	AROMRING s1 s2 s3 s5	6.9493	****	****	****	-0.4168	-1.8048	-2.0195	-2.5308	0.0006	0.0006
112	AROMRING s1 s2 s4 s5	****	****	****	****	-0.0507	0.9671	0.4745	-1.5838	0.0022	0.0021
113	PYRIDINE s2	-3.6285	-2.6133	-1.1926	-1.7315	0.0061	-2.7847	-0.7000	0.5794	0.0045	0.0012
114	PYRIDINE s3	****	-0.5433	-0.0126	-2.0686	****	****	****	-0.2190	0.0012	-0.0001
115	PYRIDINE s4	14.4815	-0.2933	0.1474	-1.9429	-0.0728	1.7325	-0.8632	1.1376	0.0048	0.0001
116	PYRIDINE s2 s3	****	-1.3589	-0.0413	-0.7386	****	****	****	****	****	****
117	PYRIDINE s2 s4	****	-1.6089	-0.5913	-1.4293	****	****	****	****	****	****
118	PYRIDINE s2 s5	****	-1.2689	-0.4413	-0.9986	****	****	****	1.4757	****	****
119	PYRIDINE s2 s6	****	-3.7289	-1.6613	-0.9342	****	****	****	0.3481	0.0048	0.0028
120	PYRIDINE s3 s4	****	1.4411	0.8687	-2.2870	****	****	****	****	****	****
121	PYRIDINE s3 s5	****	0.3911	0.3387	-2.0475	****	****	****	****	****	****
122	PYRIDINE s2 s3 s6	****	****	****	****	****	****	****	****	****	****
123	(CHn=CHm)cyc-COOH	****	****	****	****	****	****	****	****	****	****
124	AROMRING s1 s2 s3 s4 s5	****	0.3776	0.1482	0.1121	****	****	****	****	-0.0007	-0.0070
125	aC-NHCOCH2N	****	****	****	****	****	****	****	****	****	****
126	(N=C)cyc-CH3	****	****	****	****	****	****	****	****	****	****
127	aC-CONH(CH2)2N	****	****	****	****	****	****	****	****	****	****
128	aC-SO2NHn (n>=0;n<3)	****	****	****	****	****	****	****	****	****	****
129	aC-SO2NHn (n>=0;n<3)	****	****	****	****	****	****	****	****	****	****
130	aC-SO2NHn (n>=0;n<3)	****	****	****	****	-1.2780	-1.0623	-7.0834	****	****	****
